Period,Date,Time,"CARS, SUVs, Taxi","Heavy Trucks, Trailers, Containers",Medium Buses,Small Buses,"Medium Trucks, Lorry",Large Buses,"Small Trucks, Pickup, Small Van",Total,Classification
DAY 3,23-Jul-22,3:15:00 PM,98,9,5,111,38,0,13,274,offpeak pm
DAY 3,23-Jul-22,3:30:00 PM,102,12,3,73,30,2,18,240,offpeak pm
DAY 3,23-Jul-22,3:45:00 PM,107,8,4,93,44,1,15,272,offpeak pm
DAY 3,23-Jul-22,4:00:00 PM,94,4,3,98,23,0,20,242,peak pm
DAY 3,23-Jul-22,4:15:00 PM,92,7,5,101,53,2,11,271,peak pm
DAY 3,23-Jul-22,4:30:00 PM,97,9,2,30,42,0,21,201,peak pm
DAY 3,23-Jul-22,4:45:00 PM,127,5,5,112,13,0,13,275,peak pm
DAY 3,23-Jul-22,5:00:00 PM,132,11,10,99,66,0,8,326,peak pm
DAY 3,23-Jul-22,5:15:00 PM,117,11,7,74,22,2,17,250,peak pm
DAY 3,23-Jul-22,5:30:00 PM,123,9,9,87,37,0,21,286,peak pm
DAY 3,23-Jul-22,5:45:00 PM,119,13,8,53,14,3,18,228,peak pm
DAY 3,23-Jul-22,6:00:00 PM,131,10,4,92,41,0,23,301,peak pm
